#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.kgXref.geneSymbol
ENST00000413465.6	chr17	-	7661778	7676594	7661938	7676594	7	7661778,7674180,7674858,7675052,7675993,7676381,7676520,	7662014,7674290,7674971,7675236,7676272,7676403,7676594,	E7EQX7	TP53
ENST00000635293.1	chr17	-	7665415	7687491	7667175	7676251	12	7665415,7666901,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7665531,7667425,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687491,	A0A0U1RQC9	TP53
ENST00000714356.1	chr17	-	7665962	7677515	7666183	7676251	10	7665962,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7677397,	7666244,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676622,7677515,		TP53
ENST00000359597.8	chr17	-	7666085	7676594	7666205	7676594	9	7666085,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,	7666244,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676594,	J3KP33	TP53
ENST00000504290.5	chr17	-	7668401	7675493	7673218	7675215	8	7668401,7670608,7673206,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673266,7673608,7673837,7674290,7674971,7675493,	P04637	TP53
ENST00000504937.5	chr17	-	7668401	7675493	7669608	7675215	7	7668401,7670608,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673608,7673837,7674290,7674971,7675493,	P04637	TP53
ENST00000510385.5	chr17	-	7668401	7675493	7673306	7675215	8	7668401,7670608,7673206,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673339,7673608,7673837,7674290,7674971,7675493,	P04637	TP53
ENST00000610623.4	chr17	-	7668401	7675493	7673218	7675134	8	7668401,7670608,7673206,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673266,7673608,7673837,7674290,7674971,7675493,	A0A087WT22	TP53
ENST00000618944.4	chr17	-	7668401	7675493	7673306	7675134	8	7668401,7670608,7673206,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673339,7673608,7673837,7674290,7674971,7675493,	A0A087WXZ1	TP53
ENST00000619186.4	chr17	-	7668401	7675493	7669608	7675134	7	7668401,7670608,7673534,7673700,7674180,7674858,7675052,	7669690,7670715,7673608,7673837,7674290,7674971,7675493,	A0A087X1Q1	TP53
ENST00000610292.4	chr17	-	7668401	7687481	7669608	7676251	10	7668401,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676622,7687481,	P04637	TP53
ENST00000620739.4	chr17	-	7668401	7687538	7669608	7676251	11	7668401,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687538,	P04637	TP53
ENST00000420246.6	chr17	-	7668403	7687481	7673306	7676594	12	7668403,7670608,7673206,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673339,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687481,	P04637	TP53
ENST00000455263.6	chr17	-	7668403	7687481	7673218	7676594	12	7668403,7670608,7673206,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673266,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687481,	P04637	TP53
ENST00000610538.4	chr17	-	7668403	7687481	7673218	7676251	12	7668403,7670608,7673206,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673266,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687481,	P04637	TP53
ENST00000622645.4	chr17	-	7668403	7687481	7673306	7676251	12	7668403,7670608,7673206,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673339,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687481,	P04637	TP53
ENST00000714357.1	chr17	-	7668412	7677439	7669608	7676594	11	7668412,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7677397,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7677439,	K7PPA8	TP53
ENST00000508793.6	chr17	-	7668412	7677578	7669608	7676594	11	7668412,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7677324,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7677578,	P04637	TP53
ENST00000503591.2	chr17	-	7668420	7687427	7669608	7676594	12	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7677324,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7677427,7687427,	P04637	TP53
ENST00000514944.6	chr17	-	7668420	7687427	7669608	7676594	10	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676403,7676622,7687427,	E9PFT5	TP53
ENST00000445888.6	chr17	-	7668420	7687487	7669608	7676594	11	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676619,7687487,	P04637	TP53
ENST00000509690.6	chr17	-	7668420	7687487	7669608	7675215	8	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7687487,	P04637	TP53
ENST00000604348.6	chr17	-	7668420	7687487	7669608	7676594	11	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675215,7676272,7676403,7676622,7687487,	S4R334	TP53
ENST00000619485.4	chr17	-	7668420	7687487	7669608	7676251	11	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676619,7687487,	P04637	TP53
ENST00000269305.9	chr17	-	7668420	7687490	7669608	7676594	11	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687490,	P04637	TP53
ENST00000714358.1	chr17	-	7668420	7687490	7676238	7676594	10	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676520,7687376,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676622,7687490,	A0A386NBZ1	TP53
ENST00000714408.1	chr17	-	7668420	7687490	7669648	7676594	11	7668420,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669784,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687490,		TP53
ENST00000714409.1	chr17	-	7668420	7687490	7670604	7676594	10	7668420,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687490,		TP53
ENST00000576024.2	chr17	-	7668420	7687511	7669648	7676594	10	7668420,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687376,	7669690,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687511,	I3L0W9	TP53
ENST00000714359.1	chr17	-	7668524	7687546	7669608	7676594	11	7668524,7670608,7673534,7673700,7674180,7674858,7675052,7675993,7676381,7676520,7687457,	7669690,7670715,7673608,7673837,7674290,7674971,7675236,7676272,7676403,7676622,7687546,	K7PPA8	TP53
ENST00000574684.1	chr17	-	7674253	7675119	7674253	7674253	2	7674253,7675052,	7674290,7675119,		TP53
ENST00000505014.5	chr17	-	7674525	7687487	7674525	7674525	5	7674525,7675052,7675993,7676381,7687376,	7674971,7675236,7676272,7676622,7687487,		TP53
ENST00000571370.2	chr17	-	7685248	7687523	7685248	7685248	1	7685248,	7687523,		TP53
ENST00000578073.1	chr17	+	29566051	29568341	29566051	29566051	2	29566051,29568277,	29566228,29568341,		TP53I13
ENST00000584522.1	chr17	+	29566300	29567491	29566300	29566300	2	29566300,29567360,	29566588,29567491,		TP53I13
ENST00000583940.5	chr17	+	29567179	29571702	29569020	29571702	5	29567179,29568277,29569017,29569317,29571590,	29567411,29568548,29569086,29569359,29571702,	K7EKX3	TP53I13
ENST00000580183.6	chr17	+	29568026	29572259	29569020	29572259	7	29568026,29568277,29569017,29569317,29571590,29571856,29572141,	29568060,29568508,29569086,29569359,29571719,29572057,29572259,	K7ELD4	TP53I13
ENST00000578749.5	chr17	+	29568046	29572288	29569020	29572288	6	29568046,29569017,29569317,29571590,29571856,29572141,	29568508,29569086,29569359,29571719,29572057,29572288,	K7ERH9	TP53I13
ENST00000582829.6	chr17	+	29568055	29572229	29569020	29572229	7	29568055,29568277,29569017,29569317,29571590,29571856,29572141,	29568060,29568548,29569086,29569359,29571719,29572057,29572229,	K7EJC6	TP53I13
ENST00000577934.5	chr17	+	29568516	29572307	29568516	29571837	6	29568516,29569017,29569317,29571590,29571831,29572141,	29568548,29569086,29569359,29571719,29572057,29572307,	J3KRJ1	TP53I13
ENST00000581411.6	chr17	+	29568590	29572173	29569020	29572173	5	29568590,29569317,29571590,29571856,29572141,	29569086,29569359,29571719,29572057,29572173,	J3KSX2	TP53I13
ENST00000301057.8	chr17	+	29568700	29573157	29568758	29572924	7	29568700,29569017,29569317,29571590,29571856,29572141,29572811,	29568830,29569086,29569359,29571719,29572057,29572697,29573157,	Q8NBR0	TP53I13
ENST00000580132.1	chr17	+	29568759	29569392	29568759	29568759	2	29568759,29569017,	29568830,29569392,		TP53I13
ENST00000579674.1	chr17	+	29570688	29573156	29570688	29570688	1	29570688,	29573156,		TP53I13
ENST00000378818.2	chr17	+	29572429	29573157	29572429	29573076	2	29572429,29572973,	29572665,29573157,	H0Y3E9	TP53I13
ENST00000497488.2	chr17	-	43044294	43125300	43045677	43094642	15	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43125300,	C9IZW4	BRCA1
ENST00000489037.2	chr17	-	43044294	43125321	43045677	43124096	22	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43115725,43124016,43125181,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43115779,43124115,43125321,	E7ENB7	BRCA1
ENST00000478531.6	chr17	-	43044294	43125359	43045677	43124096	23	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099877,43104261,43104956,43106533,43115779,43124115,43125359,	E7EUM2	BRCA1
ENST00000357654.9	chr17	-	43044294	43125364	43045677	43124096	23	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125364,	P38398	BRCA1
ENST00000473961.6	chr17	-	43044294	43125364	43045677	43124096	21	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43099877,43104261,43104956,43106533,43115779,43124115,43125364,	H0Y8D8	BRCA1
ENST00000477152.6	chr17	-	43044294	43125364	43045677	43124096	22	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43115779,43124115,43125364,	E7ENB7	BRCA1
ENST00000352993.7	chr17	-	43044294	43125370	43045677	43124096	22	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125370,	P38398	BRCA1
ENST00000493919.6	chr17	-	43044294	43125402	43045677	43106526	22	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43106455,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43124115,43125402,	A0A9Y1QPT7	BRCA1
ENST00000494123.6	chr17	-	43044294	43125450	43045677	43124096	23	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125450,	Q3B891	BRCA1
ENST00000471181.7	chr17	-	43044294	43125483	43045677	43124096	24	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43079333,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076611,43079399,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125483,	P38398	BRCA1
ENST00000652672.2	chr17	-	43044294	43125483	43045677	43106526	24	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43121557,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43121676,43124115,43125483,	P38398	BRCA1
ENST00000634433.2	chr17	-	43044294	43170245	43045677	43124096	21	43044294,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43099774,43104121,43104867,43106455,43115725,43124016,43170125,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43099880,43104261,43104956,43106533,43115779,43124115,43170245,	A0A0U1RRA9	BRCA1
ENST00000476777.6	chr17	-	43044297	43125360	43045677	43124096	23	43044297,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082572,43091032,43094860,43095922,43097289,43099877,43104261,43104956,43106533,43115779,43124115,43125360,	E7EQW4	BRCA1
ENST00000700081.1	chr17	-	43044301	43050409	43044301	43044301	3	43044301,43047642,43049120,	43045802,43047703,43050409,		BRCA1
ENST00000470026.6	chr17	-	43044303	43125343	43045677	43124096	23	43044303,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125181,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125343,	P38398	BRCA1
ENST00000713676.1	chr17	-	43044303	43125343	43045677	43124096	23	43044303,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124102,43125343,		BRCA1
ENST00000618469.2	chr17	-	43044303	43125364	43045677	43124096	23	43044303,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43124736,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125364,	P38398	BRCA1
ENST00000461574.2	chr17	-	43044303	43125370	43045677	43124096	23	43044303,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076611,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125370,	H0Y850	BRCA1
ENST00000644555.2	chr17	-	43044303	43125370	43045677	43106526	24	43044303,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43119120,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43119265,43124115,43125370,	A0A9Y1QPT7	BRCA1
ENST00000468300.5	chr17	-	43044804	43125451	43045783	43124096	22	43044804,43047642,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125276,	43045802,43047703,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076611,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125451,	P38398	BRCA1
ENST00000700082.1	chr17	-	43044980	43048473	43044980	43044980	2	43044980,43047642,	43045802,43048473,		BRCA1
ENST00000644379.2	chr17	-	43045085	43125364	43045677	43124096	24	43045085,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43079333,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43079399,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125364,	A0A2R8Y7V5	BRCA1
ENST00000484087.6	chr17	-	43045433	43125343	43045677	43124096	21	43045433,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076611,43082572,43091032,43094860,43099880,43104261,43104956,43106533,43115779,43124115,43125343,	H0Y8B8	BRCA1
ENST00000586385.5	chr17	-	43045562	43125329	43045677	43125185	8	43045562,43047642,43049120,43051062,43057051,43063332,43063873,43125181,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43125329,	C6YB45	BRCA1
ENST00000591534.5	chr17	-	43045562	43125329	43045677	43074478	11	43045562,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43125270,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43125329,	K7EPC7	BRCA1
ENST00000591849.5	chr17	-	43045562	43125329	43045677	43050092	5	43045562,43047642,43049120,43050061,43125270,	43045802,43047703,43049194,43050190,43125329,	K7EJW3	BRCA1
ENST00000493795.5	chr17	-	43045628	43125402	43045677	43106526	22	43045628,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106455,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43124115,43125402,	P38398	BRCA1
ENST00000461221.5	chr17	-	43045677	43125288	43104954	43124096	23	43045677,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43091434,43095845,43097243,43099774,43104121,43104867,43106477,43115725,43124016,43125181,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076614,43082575,43091032,43094860,43095922,43097289,43099877,43104261,43104956,43106533,43115779,43124115,43125288,	P38398	BRCA1
ENST00000491747.6	chr17	-	43045677	43125356	43045677	43124096	23	43045677,43047642,43049120,43051062,43057051,43063332,43063873,43067607,43070927,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125276,	43045802,43047703,43049194,43051117,43057135,43063373,43063951,43067695,43071238,43074521,43076611,43082575,43091032,43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125356,	P38398	BRCA1
ENST00000472490.1	chr17	-	43067273	43071066	43067273	43067273	2	43067273,43070927,	43067695,43071066,		BRCA1
ENST00000700182.1	chr17	-	43070343	43125343	43070885	43124096	14	43070343,43074330,43076487,43082403,43090943,43094743,43095845,43097243,43099774,43104121,43104867,43115725,43124016,43125270,	43071238,43074521,43076611,43082575,43091032,43094860,43095922,43097289,43099877,43104261,43104956,43115779,43124115,43125343,	A0A8V8TPY7	BRCA1
ENST00000621897.1	chr17	-	43076487	43082760	43076487	43076487	3	43076487,43082403,43082681,	43076611,43082575,43082760,		BRCA1
ENST00000354071.8	chr17	-	43091097	43125315	43091097	43091097	10	43091097,43095845,43097243,43099774,43104121,43104867,43106455,43115725,43124016,43125270,	43094860,43095922,43097289,43099880,43104261,43104956,43106533,43115779,43124115,43125315,		BRCA1
ENST00000700183.1	chr17	-	43094032	43125343	43110534	43124096	12	43094032,43095845,43097243,43097492,43099774,43104121,43104867,43106477,43110464,43115725,43124016,43125270,	43094860,43095922,43097289,43097586,43099880,43104261,43104956,43106533,43110580,43115779,43124115,43125343,	E9PC22	BRCA1
ENST00000492859.5	chr17	-	43094111	43125300	43110534	43124096	11	43094111,43095845,43097243,43099774,43104121,43104867,43106455,43110464,43115725,43124016,43125270,	43094860,43095922,43097289,43099880,43104261,43104956,43106533,43110580,43115779,43124115,43125300,	E9PC22	BRCA1
ENST00000642945.1	chr17	-	43094481	43125343	43112494	43124096	11	43094481,43095845,43097243,43099774,43104121,43104867,43106455,43112486,43115725,43124016,43125276,	43094860,43095922,43097289,43099880,43104261,43104956,43106533,43112606,43115779,43124115,43125343,	A0A2R8Y6Y9	BRCA1
ENST00000700184.1	chr17	-	43099642	43124339	43099642	43099642	6	43099642,43104121,43104867,43106455,43115725,43124016,	43099877,43104261,43104956,43106533,43115779,43124339,		BRCA1
ENST00000461798.5	chr17	-	43099830	43125370	43104954	43124096	7	43099830,43104121,43104867,43106477,43115725,43124016,43125276,	43099880,43104261,43104956,43106533,43115779,43124115,43125370,	P38398	BRCA1
ENST00000700083.1	chr17	-	43104224	43106139	43104224	43104224	2	43104224,43104867,	43104261,43106139,		BRCA1
ENST00000700185.1	chr17	-	43114390	43125370	43114390	43114390	4	43114390,43115725,43124016,43125270,	43114633,43115779,43124115,43125370,		BRCA1
ENST00000700186.1	chr17	-	43122342	43125370	43122342	43122342	3	43122342,43124016,43125270,	43122880,43124115,43125370,		BRCA1
ENST00000589464.1	chr17	-	43168169	43168249	43168169	43168169	1	43168169,	43168249,		BRCA1P1
ENST00000374809.6	chr20	+	34704338	34713439	34708739	34710307	4	34704338,34708690,34709235,34710057,	34704512,34708863,34709524,34713439,	Q8IXH6	TP53INP2
ENST00000374810.8	chr20	+	34704343	34713436	34708739	34710307	5	34704343,34705357,34708690,34709235,34710057,	34704512,34705474,34708863,34709524,34713436,	Q8IXH6	TP53INP2
ENST00000451665.5	chr20	+	34704349	34709496	34708739	34709496	3	34704349,34708690,34709355,	34704512,34708863,34709496,	Q5JX65	TP53INP2
ENST00000414082.1	chr20	+	34704734	34709343	34708739	34709343	4	34704734,34705357,34708690,34709235,	34704778,34705474,34708863,34709343,	Q5JX66	TP53INP2
ENST00000372726.5	chr20	-	45372556	45378325	45373906	45378236	5	45372556,45375038,45377211,45377538,45378188,	45374011,45375552,45377342,45377613,45378325,	Q9Y2B4	TP53TG5
ENST00000494455.5	chr20	-	45375476	45407889	45375476	45375476	6	45375476,45377211,45377538,45404252,45405716,45407748,	45375552,45377342,45377613,45404307,45405820,45407889,		TP53TG5
ENST00000488588.1	chr20	-	45377196	45405994	45377196	45377196	4	45377196,45377538,45404252,45405716,	45377342,45377613,45404307,45405994,		TP53TG5
ENST00000468375.1	chr20	-	45404075	45407877	45404075	45404075	3	45404075,45405716,45407748,	45404307,45405820,45407877,		TP53TG5
ENST00000372114.4	chr20	-	46684364	46689444	46686752	46689414	2	46684364,46689131,	46687231,46689444,	Q96S44	TP53RK
ENST00000372102.3	chr20	-	46685533	46689440	46687153	46689414	2	46685533,46689126,	46687231,46689440,	Q5JZ02	TP53RK
ENST00000606362.1	chr20	+	46689658	46690289	46689658	46689658	1	46689658,	46690289,		TP53RK-DT
